stop id,arrival time,route,trip id
559,2018-04-18T07:46:49,801,2005981
610,2018-04-18T07:46:49,1,1985680
4039,2018-04-18T07:47:49,801,2005983
2821,2018-04-18T07:48:49,801,2005986
559,2018-04-18T07:53:20,1,1985713
559,2018-04-18T07:53:49,801,2005980
4039,2018-04-18T07:53:49,801,2005982
2821,2018-04-18T07:54:19,240,1989223
591,2018-04-18T07:55:49,18,1987420
610,2018-04-18T07:55:49,801,2005984
591,2018-04-18T07:57:49,3,1989868
2821,2018-04-18T07:58:49,801,2005983
591,2018-04-18T07:59:49,803,2006718
2821,2018-04-18T08:00:49,801,2005985
591,2018-04-18T08:01:49,1,1985679
559,2018-04-18T08:04:49,801,2005979
4039,2018-04-18T08:05:49,801,2005981
591,2018-04-18T08:06:49,801,2005983
4039,2018-04-18T08:09:49,801,2005980
2821,2018-04-18T08:10:19,275,1989648
591,2018-04-18T08:10:49,803,2006717
2821,2018-04-18T08:11:49,801,2005984
559,2018-04-18T08:12:49,801,2005978
4039,2018-04-18T08:12:49,1,1985713
591,2018-04-18T08:14:19,801,2005982
610,2018-04-18T08:16:49,1,1985679
610,2018-04-18T08:18:49,801,2005983
591,2018-04-18T08:19:49,19,1987658
4039,2018-04-18T08:21:49,801,2005979
559,2018-04-18T08:22:49,801,2005977
591,2018-04-18T08:24:19,801,2005981
559,2018-04-18T08:24:49,1,1985712
591,2018-04-18T08:27:49,5,1994657
610,2018-04-18T08:27:49,801,2005982
591,2018-04-18T08:28:49,801,2005980
591,2018-04-18T08:29:49,18,1987423
591,2018-04-18T08:31:49,803,2006716
591,2018-04-18T08:32:49,1,1985713
4039,2018-04-18T08:33:49,801,2005978
610,2018-04-18T08:34:49,801,2005981
2821,2018-04-18T08:36:49,275,1989639
591,2018-04-18T08:38:19,801,2005979
4039,2018-04-18T08:39:49,801,2005977
2821,2018-04-18T08:39:49,240,1989222
559,2018-04-18T08:40:19,801,2005976
4039,2018-04-18T08:40:49,1,1985712
610,2018-04-18T08:40:49,801,2005980
591,2018-04-18T08:41:49,803,2006715
2821,2018-04-18T08:41:49,801,2005983
591,2018-04-18T08:45:49,5,1994662
2821,2018-04-18T08:45:49,801,2005982
610,2018-04-18T08:47:19,1,1985713
591,2018-04-18T08:49:49,3,1989871
559,2018-04-18T08:50:19,801,2005975
591,2018-04-18T08:50:49,19,1987655
610,2018-04-18T08:50:49,801,2005979
591,2018-04-18T08:52:49,803,2006714
2821,2018-04-18T08:54:19,801,2005981
559,2018-04-18T08:54:49,1,1985711
4039,2018-04-18T08:54:49,801,2005976
559,2018-04-18T08:55:49,801,2005974
591,2018-04-18T08:55:49,801,2005978
591,2018-04-18T08:59:19,1,1985712
591,2018-04-18T08:59:19,803,2006707
2821,2018-04-18T08:59:19,801,2005980
591,2018-04-18T09:01:19,801,2005977
4039,2018-04-18T09:02:49,801,2005975
591,2018-04-18T09:02:49,3,1989870
591,2018-04-18T09:03:49,803,2006713
591,2018-04-18T09:05:49,803,2006712
610,2018-04-18T09:07:19,801,2005978
2821,2018-04-18T09:07:49,275,1989638
559,2018-04-18T09:08:49,801,2005973
591,2018-04-18T09:08:49,18,1987422
2821,2018-04-18T09:10:19,801,2005979
4039,2018-04-18T09:10:49,801,2005974
610,2018-04-18T09:11:19,1,1985712
4039,2018-04-18T09:12:49,1,1985711
591,2018-04-18T09:12:49,803,2006711
591,2018-04-18T09:14:49,801,2005976
591,2018-04-18T09:15:49,5,1994661
610,2018-04-18T09:15:49,801,2005977
559,2018-04-18T09:17:19,801,2005972
591,2018-04-18T09:18:19,801,2005975
591,2018-04-18T09:20:49,803,2006710
2821,2018-04-18T09:21:49,801,2005978
2821,2018-04-18T09:22:49,240,1989221
591,2018-04-18T09:23:49,801,2005974
4039,2018-04-18T09:24:49,801,2005973
591,2018-04-18T09:24:49,803,2006709
591,2018-04-18T09:25:19,1,1985711
591,2018-04-18T09:26:49,3,1989867
559,2018-04-18T09:29:19,801,2005971
4039,2018-04-18T09:29:49,801,2005972
610,2018-04-18T09:29:49,801,2005976
559,2018-04-18T09:30:49,1,1985710
591,2018-04-18T09:30:49,18,1987421
591,2018-04-18T09:31:49,19,1987635
610,2018-04-18T09:31:49,801,2005975
2821,2018-04-18T09:31:49,801,2005977
591,2018-04-18T09:35:19,801,2005973
610,2018-04-18T09:37:49,801,2005974
559,2018-04-18T09:40:19,801,2005970
591,2018-04-18T09:40:49,803,2006708
610,2018-04-18T09:41:49,1,1985711
4039,2018-04-18T09:42:49,801,2005971
591,2018-04-18T09:42:49,801,2005972
559,2018-04-18T09:45:19,801,2005969
4039,2018-04-18T09:44:49,1,1985710
591,2018-04-18T09:45:49,5,1994684
591,2018-04-18T09:46:49,803,2006707
610,2018-04-18T09:47:19,801,2005973
2821,2018-04-18T09:47:49,801,2005976
2821,2018-04-18T09:49:49,801,2005975
2821,2018-04-18T09:49:49,801,2005974
591,2018-04-18T09:50:49,3,1989866
559,2018-04-18T09:51:49,1,1985709
4039,2018-04-18T09:53:49,801,2005970
610,2018-04-18T09:55:19,801,2005972
2821,2018-04-18T09:54:56,275,1989636
591,2018-04-18T09:55:49,803,2006706
591,2018-04-18T09:58:49,1,1985710
559,2018-04-18T09:59:19,801,2005755
591,2018-04-18T09:59:19,801,2005971
591,2018-04-18T10:01:49,803,2006705
4039,2018-04-18T10:02:49,801,2005969
591,2018-04-18T10:02:49,18,1987418
2821,2018-04-18T10:04:49,801,2005973
2821,2018-04-18T10:05:19,240,1989220
2821,2018-04-18T10:06:49,275,1989635
559,2018-04-18T10:07:19,801,2005754
591,2018-04-18T10:08:49,801,2005970
4039,2018-04-18T10:10:49,1,1985709
559,2018-04-18T10:12:49,801,2005751
4039,2018-04-18T10:12:49,801,2005751
591,2018-04-18T10:12:49,19,1987654
591,2018-04-18T10:12:49,801,2005751
610,2018-04-18T10:12:49,1,1985710
2821,2018-04-18T10:12:49,801,2005972
610,2018-04-18T10:13:19,801,2005971
591,2018-04-18T10:13:49,803,2006704
4039,2018-04-18T10:14:49,801,2005755
591,2018-04-18T10:15:19,801,2005969
559,2018-04-18T10:16:49,801,2005753
591,2018-04-18T10:19:19,3,1989865
591,2018-04-18T10:19:49,5,1994664
4039,2018-04-18T10:20:49,801,2005754
591,2018-04-18T10:20:49,803,2006703
610,2018-04-18T10:21:49,801,2005970
559,2018-04-18T10:22:19,1,1985708
559,2018-04-18T10:26:19,801,2005752
591,2018-04-18T10:27:19,801,2005755
610,2018-04-18T10:27:49,801,2005969
