arrival time,interval,adherence
2018-04-20T20:38:49,4,ON TIME
2018-04-20T20:41:49,3,ON TIME
2018-04-20T21:06:49,25,5-10 MIN LATE
2018-04-20T21:29:49,23,2-5 MIN LATE
2018-04-20T21:43:19,13,ON TIME
2018-04-20T22:02:19,19,ON TIME
2018-04-20T22:22:49,20,ON TIME
2018-04-20T22:57:49,35,10+ MIN LATE
2018-04-20T23:00:19,2,BUNCHED
2018-04-20T23:21:49,21,ON TIME
2018-04-20T23:42:49,21,ON TIME
2018-04-21T00:02:19,19,ON TIME
2018-04-21T00:19:49,17,ON TIME
2018-04-21T00:33:19,13,ON TIME
2018-04-21T00:57:19,24,2-5 MIN LATE
2018-04-21T01:20:49,23,2-5 MIN LATE
2018-04-21T01:30:49,10,ON TIME
2018-04-21T01:51:49,21,ON TIME
2018-04-21T02:09:49,18,ON TIME
2018-04-21T02:27:19,17,ON TIME
2018-04-21T02:51:49,24,2-5 MIN LATE
2018-04-21T03:06:49,15,ON TIME
2018-04-21T07:01:49,22,2-5 MIN LATE
2018-04-21T07:16:49,15,ON TIME
2018-04-21T07:37:49,21,ON TIME
2018-04-21T07:56:49,19,ON TIME
2018-04-21T08:15:49,19,ON TIME
2018-04-21T08:31:49,16,ON TIME
2018-04-21T08:48:19,16,ON TIME
2018-04-21T09:02:49,14,ON TIME
2018-04-21T09:10:20,7,ON TIME
2018-04-21T09:29:49,19,2-5 MIN LATE
2018-04-21T09:40:49,11,ON TIME
2018-04-21T10:02:49,22,5-10 MIN LATE
2018-04-21T10:20:49,18,2-5 MIN LATE
2018-04-21T10:36:49,16,ON TIME
2018-04-21T10:47:19,10,ON TIME
2018-04-21T11:02:49,15,ON TIME
2018-04-21T11:18:19,15,ON TIME
2018-04-21T11:28:49,10,ON TIME
2018-04-21T11:52:49,24,5-10 MIN LATE
2018-04-21T12:01:19,8,ON TIME
2018-04-21T12:14:49,13,ON TIME
2018-04-21T12:38:49,24,5-10 MIN LATE
2018-04-21T12:51:49,13,ON TIME
2018-04-21T13:06:49,15,ON TIME
2018-04-21T13:18:49,12,ON TIME
2018-04-21T13:43:49,25,10+ MIN LATE
2018-04-21T13:55:49,12,ON TIME
2018-04-21T14:07:49,12,ON TIME
2018-04-21T14:25:19,17,2-5 MIN LATE
2018-04-21T14:34:49,9,ON TIME
2018-04-21T14:48:49,14,ON TIME
2018-04-21T15:12:49,24,5-10 MIN LATE
2018-04-21T15:19:49,7,ON TIME
2018-04-21T15:39:19,19,2-5 MIN LATE
2018-04-21T15:52:49,13,ON TIME
2018-04-21T16:21:19,28,10+ MIN LATE
2018-04-21T16:22:49,1,BUNCHED
2018-04-21T16:33:49,11,ON TIME
2018-04-21T16:49:49,16,ON TIME
2018-04-21T17:06:49,17,2-5 MIN LATE
2018-04-21T17:22:49,16,ON TIME
2018-04-21T17:33:49,11,ON TIME
2018-04-21T17:55:19,21,5-10 MIN LATE
2018-04-21T18:06:49,11,ON TIME
2018-04-21T18:16:49,10,ON TIME
